Date,Maximum Temperature,Minimum Temperature,Average Temperature,Departure Temperature,HDD,CDD,Precipitation,New Snow,Snow Depth
2017-03-01,21.11111111111111,12.222222222222221,16.666666666666668,-4.500000000000001,3,0,0.30479997,0.0,0.0
2017-03-02,17.77777777777778,1.6666666666666667,9.722222222222221,-11.555555555555555,15,0,0.0,0.0,0.0
2017-03-03,3.888888888888889,-4.444444444444445,-0.2777777777777778,-21.72222222222222,33,0,0.0,0.0,0.0
2017-03-04,-1.1111111111111112,-8.333333333333334,-4.722222222222222,-26.27777777777778,41,0,0.0,0.0,0.0
2017-03-05,2.7777777777777777,-10.0,-3.611111111111111,-25.333333333333332,39,0,0.0,0.0,0.0
2017-03-06,7.222222222222222,-3.3333333333333335,1.9444444444444444,-19.944444444444443,29,0,0.0,0.0,0.0
2017-03-07,13.333333333333334,5.555555555555555,9.444444444444445,-12.555555555555555,16,0,0.254,0.0,0.0
2017-03-08,15.0,8.333333333333334,11.666666666666666,-10.5,12,0,0.0508,0.0,0.0
2017-03-09,16.11111111111111,8.333333333333334,12.222222222222221,-10.11111111111111,11,0,0.0,0.0,0.0
2017-03-10,8.333333333333334,-5.0,1.6666666666666667,-20.833333333333332,30,0,0.7874,5.3339996,0.0
2017-03-11,-1.6666666666666667,-8.333333333333334,-5.0,-27.61111111111111,42,0,0.0,0.0,2.54
2017-03-12,-1.6666666666666667,-7.222222222222222,-4.444444444444445,-27.22222222222222,41,0,0.0,0.0,0.0254
2017-03-13,2.2222222222222223,-6.666666666666667,-2.2222222222222223,-25.166666666666668,37,0,0.0,0.00508,0.0
2017-03-14,0.0,-6.111111111111111,-3.0555555555555554,-26.166666666666668,38,0,5.0038,19.303999,10.16
2017-03-15,-3.3333333333333335,-6.666666666666667,-5.0,-28.333333333333332,42,0,0.0,0.0,15.24
2017-03-16,3.888888888888889,-4.444444444444445,-0.2777777777777778,-23.77777777777778,33,0,0.0,0.0,12.7
2017-03-17,8.333333333333334,-1.6666666666666667,3.3333333333333335,-20.333333333333332,27,0,0.0,0.0,10.16
2017-03-18,3.888888888888889,1.1111111111111112,2.5,-21.333333333333332,28,0,0.2032,0.00508,7.62
2017-03-19,8.333333333333334,1.1111111111111112,4.722222222222222,-19.27777777777778,24,0,0.0,0.0,7.62
2017-03-20,11.11111111111111,0.5555555555555556,5.833333333333333,-18.38888888888889,22,0,0.0,0.0,0.0254
2017-03-21,15.0,5.555555555555555,10.277777777777779,-14.11111111111111,14,0,0.0,0.0,0.0
2017-03-22,10.0,-4.444444444444445,2.7777777777777777,-21.77777777777778,28,0,0.0,0.0,0.0
2017-03-23,5.555555555555555,-5.0,0.2777777777777778,-24.5,32,0,0.0,0.0,0.0
2017-03-24,13.88888888888889,2.2222222222222223,8.055555555555555,-16.88888888888889,18,0,0.00025399998,0.0,0.0
2017-03-25,16.666666666666668,5.555555555555555,11.11111111111111,-14.055555555555555,13,0,0.0254,0.0,0.0
2017-03-26,5.555555555555555,2.7777777777777777,4.166666666666667,-21.166666666666668,25,0,0.3556,0.0,0.0
2017-03-27,11.666666666666666,2.7777777777777777,7.222222222222222,-18.333333333333332,20,0,0.6604,0.0,0.0
2017-03-28,7.777777777777778,5.0,6.388888888888889,-19.38888888888889,21,0,1.8288001,0.0,0.0
2017-03-29,15.555555555555555,5.555555555555555,10.555555555555555,-15.38888888888889,14,0,0.0,0.0,0.0
2017-03-30,11.11111111111111,3.3333333333333335,7.222222222222222,-18.944444444444443,20,0,0.0254,0.0,0.0
2017-03-31,6.111111111111111,2.7777777777777777,4.444444444444445,-21.944444444444443,25,0,3.8353999,0.0,0.0
