VendorID,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,RatecodeID,store_and_fwd_flag,PULocationID,DOLocationID,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount,trip_duration
2,2017-03-09 21:30:11,2017-03-09 21:44:20,1,6.532539999999999,1,N,148,48,1,14.0,0.5,0.5,3.06,0.0,0.3,18.36,14.15
2,2017-03-09 21:47:00,2017-03-09 21:58:01,1,4.39257,1,N,48,107,2,11.5,0.5,0.5,0.0,0.0,0.3,12.8,11.016666666666667
2,2017-03-09 22:01:08,2017-03-09 22:11:16,1,3.6524300000000003,1,N,79,162,1,10.0,0.5,0.5,2.82,0.0,0.3,14.12,10.133333333333333
2,2017-03-31 06:31:53,2017-03-31 06:41:48,1,5.55105,1,N,41,162,2,12.0,0.5,0.5,0.0,0.0,0.3,13.3,9.916666666666666
1,2017-03-01 00:00:00,2017-03-01 00:14:22,1,4.5051999999999985,1,N,261,79,1,12.5,0.5,0.5,1.0,0.0,0.3,14.8,14.366666666666667
1,2017-03-01 00:00:00,2017-03-01 00:19:30,1,9.654,1,N,87,142,1,19.5,0.5,0.5,3.5,0.0,0.3,24.3,19.5
1,2017-03-01 00:00:00,2017-03-01 00:34:27,1,13.9983,1,N,142,181,1,30.0,0.5,0.5,7.8,0.0,0.3,39.1,34.45
1,2017-03-01 00:00:00,2017-03-01 00:21:31,1,5.9533000000000005,1,N,68,141,1,16.5,0.5,0.5,1.5,0.0,0.3,19.3,21.516666666666666
2,2017-03-15 00:07:59,2017-03-15 00:38:08,1,6.77389,1,N,261,163,1,20.5,0.0,0.5,4.26,0.0,0.3,25.56,30.15
2,2017-03-01 00:00:00,2017-03-01 00:07:26,1,3.33063,1,N,161,113,1,8.5,0.5,0.5,1.96,0.0,0.3,11.76,7.433333333333334
2,2017-03-01 00:00:00,2017-03-01 00:07:51,2,2.02734,1,N,170,161,1,7.0,0.5,0.5,1.66,0.0,0.3,9.96,7.85
2,2017-03-01 00:00:00,2017-03-01 00:10:40,1,4.68219,1,N,256,65,1,11.5,0.5,0.5,2.56,0.0,0.3,15.36,10.666666666666666
1,2017-03-01 00:00:01,2017-03-01 00:30:30,3,15.1246,1,N,45,116,1,29.0,0.5,0.5,9.05,0.0,0.3,39.35,30.483333333333334
2,2017-03-01 00:00:01,2017-03-01 00:06:09,1,1.3354700000000002,1,N,100,230,1,6.0,0.5,0.5,1.82,0.0,0.3,9.12,6.133333333333334
1,2017-03-01 00:00:02,2017-03-01 00:25:33,1,9.1713,1,N,170,223,1,21.5,0.5,0.5,4.55,0.0,0.3,27.35,25.516666666666666
2,2017-03-01 00:00:02,2017-03-01 00:10:41,1,3.9098699999999997,1,N,79,161,1,10.5,0.5,0.5,2.95,0.0,0.3,14.75,10.65
2,2017-03-01 00:00:02,2017-03-01 00:14:32,2,5.8406699999999985,1,N,140,24,1,14.0,0.5,0.5,3.82,0.0,0.3,19.12,14.5
1,2017-03-01 00:00:03,2017-03-01 00:17:29,1,7.2405,1,N,114,181,1,16.5,0.5,0.5,3.55,0.0,0.3,21.35,17.433333333333334
1,2017-03-01 00:00:03,2017-03-01 00:10:12,2,1.9308,1,N,211,148,2,8.0,0.5,0.5,0.0,0.0,0.3,9.3,10.15
2,2017-03-01 00:00:03,2017-03-01 00:09:55,1,2.78357,1,N,230,143,1,9.0,0.5,0.5,2.06,0.0,0.3,12.36,9.866666666666667
2,2017-03-01 00:00:03,2017-03-01 00:08:34,2,2.54222,1,N,90,144,1,8.0,0.5,0.5,1.86,0.0,0.3,11.16,8.516666666666667
1,2017-03-01 00:00:04,2017-03-01 00:07:51,1,2.2526,1,N,162,186,2,7.5,0.5,0.5,0.0,0.0,0.3,8.8,7.783333333333334
1,2017-03-01 00:00:05,2017-03-01 00:22:10,4,15.7682,1,N,138,163,2,29.5,0.5,0.5,0.0,5.54,0.3,36.34,22.08333333333333
1,2017-03-01 00:00:07,2017-03-01 00:12:35,1,5.9533000000000005,1,N,162,226,1,13.5,0.5,0.5,2.95,0.0,0.3,17.75,12.466666666666667
1,2017-03-01 00:00:07,2017-03-01 00:27:43,1,16.5727,1,N,138,141,1,32.5,0.5,0.5,7.85,5.54,0.3,47.19,27.6
1,2017-03-01 00:00:07,2017-03-01 00:09:41,1,2.2526,1,N,114,234,2,8.5,0.5,0.5,0.0,0.0,0.3,9.8,9.566666666666666
1,2017-03-01 00:00:07,2017-03-01 00:13:00,1,5.6315,1,N,125,50,1,13.0,0.5,0.5,3.55,0.0,0.3,17.85,12.883333333333333
1,2017-03-01 00:00:08,2017-03-01 00:07:26,3,1.4481,1,N,114,79,2,6.5,0.5,0.5,0.0,0.0,0.3,7.8,7.3
1,2017-03-01 00:00:08,2017-03-01 00:02:10,1,0.6436000000000001,1,N,237,141,1,3.5,0.5,0.5,1.2,0.0,0.3,6.0,2.0333333333333337
2,2017-03-01 00:00:08,2017-03-01 00:03:29,1,1.0619399999999999,1,N,161,162,2,4.5,0.5,0.5,0.0,0.0,0.3,5.8,3.35
2,2017-03-01 00:00:08,2017-03-01 00:25:29,1,23.9741,1,N,132,226,1,41.5,0.5,0.5,7.2,0.0,0.3,50.0,25.35
1,2017-03-01 00:00:09,2017-03-01 00:07:15,1,2.2526,1,N,163,48,1,7.0,0.5,0.5,2.05,0.0,0.3,10.35,7.1
1,2017-03-01 00:00:09,2017-03-01 00:11:12,1,6.436,1,N,263,79,1,12.5,0.5,0.5,2.75,0.0,0.3,16.55,11.05
2,2017-03-01 00:00:09,2017-03-01 00:21:59,1,26.596770000000006,2,N,132,170,1,52.0,0.0,0.5,11.67,5.54,0.3,70.01,21.83333333333333
1,2017-03-01 00:00:10,2017-03-01 00:05:58,1,1.4481,1,N,234,107,1,6.0,0.5,0.5,0.73,0.0,0.3,8.03,5.8
1,2017-03-01 00:00:10,2017-03-01 00:02:53,2,1.609,1,N,74,75,1,5.0,0.5,0.5,1.25,0.0,0.3,7.55,2.716666666666667
2,2017-03-01 00:00:10,2017-03-01 00:06:47,1,2.4778599999999997,1,N,48,90,1,7.5,0.5,0.5,1.25,0.0,0.3,10.05,6.616666666666666
2,2017-03-01 00:00:10,2017-03-01 00:15:02,1,6.96697,1,N,170,24,1,14.5,0.5,0.5,3.16,0.0,0.3,18.96,14.866666666666667
2,2017-03-01 00:00:11,2017-03-01 00:16:34,6,4.48911,1,N,114,230,2,13.0,0.5,0.5,0.0,0.0,0.3,14.3,16.383333333333336
2,2017-03-01 00:00:12,2017-03-01 00:06:04,1,1.88253,1,N,161,186,2,6.5,0.5,0.5,0.0,0.0,0.3,7.8,5.866666666666666
2,2017-03-01 00:00:12,2017-03-01 00:04:46,1,3.13755,1,N,48,239,1,7.0,0.5,0.5,2.08,0.0,0.3,10.38,4.566666666666666
2,2017-03-01 00:00:13,2017-03-01 00:18:57,2,9.31611,1,N,142,223,2,19.0,0.5,0.5,0.0,0.0,0.3,20.3,18.733333333333334
2,2017-03-01 00:00:14,2017-03-01 00:24:41,1,9.99189,1,N,264,264,1,22.5,0.5,0.5,4.76,0.0,0.3,28.56,24.45
1,2017-03-01 00:00:15,2017-03-01 00:14:34,1,4.1834,1,N,79,186,1,12.0,0.5,0.5,2.65,0.0,0.3,15.95,14.316666666666665
1,2017-03-01 00:00:15,2017-03-01 00:11:06,2,2.4135,1,N,48,229,1,9.0,0.5,0.5,2.05,0.0,0.3,12.35,10.85
1,2017-03-01 00:00:15,2017-03-01 00:07:40,1,2.2526,1,N,161,186,2,7.0,0.5,0.5,0.0,0.0,0.3,8.3,7.416666666666668
1,2017-03-01 00:00:15,2017-03-01 00:18:03,2,6.2751,1,N,48,146,1,15.5,0.5,0.5,0.0,0.0,0.3,16.8,17.8
1,2017-03-01 00:00:15,2017-03-01 00:08:14,1,4.6661,1,N,142,166,2,10.0,0.5,0.5,0.0,0.0,0.3,11.3,7.983333333333333
2,2017-03-01 00:00:15,2017-03-01 00:08:56,3,3.6524300000000003,1,N,142,140,1,9.0,0.5,0.5,2.06,0.0,0.3,12.36,8.683333333333334
1,2017-03-01 00:00:16,2017-03-01 00:01:47,1,0.9654,1,N,68,68,1,4.0,0.5,0.5,1.3,0.0,0.3,6.6,1.5166666666666666
2,2017-03-01 00:00:16,2017-03-01 00:27:54,1,27.88397,2,N,132,237,1,52.0,0.0,0.5,8.0,0.0,0.3,60.8,27.63333333333333
2,2017-03-01 00:00:16,2017-03-01 00:08:16,1,3.6846099999999997,1,N,158,261,1,9.0,0.5,0.5,2.0,0.0,0.3,12.3,8.000000000000002
2,2017-03-01 00:00:16,2017-03-01 00:19:28,2,23.53967,1,N,132,223,1,39.5,0.5,0.5,5.5,0.0,0.3,46.3,19.2
1,2017-03-01 00:00:18,2017-03-01 00:06:31,1,1.9308,1,N,234,4,1,6.5,0.5,0.5,1.0,0.0,0.3,8.8,6.216666666666668
1,2017-03-01 00:00:18,2017-03-01 00:45:19,1,33.6281,2,N,132,231,1,52.0,0.0,0.5,10.55,0.0,0.3,63.35,45.01666666666666
