Date,Maximum Temperature,Minimum Temperature,Average Temperature,Departure Temperature,HDD,CDD,Precipitation,New Snow,Snow Depth
2018-03-01,15.555555555555555,6.666666666666667,11.11111111111111,-10.055555555555555,13,0,0.96519995,0.0,0.0
2018-03-02,6.666666666666667,1.1111111111111112,3.888888888888889,-17.38888888888889,26,0,4.7244,0.00508,0.0
2018-03-03,9.444444444444445,2.2222222222222223,5.833333333333333,-15.61111111111111,22,0,0.0,0.0,0.0
2018-03-04,6.666666666666667,1.1111111111111112,3.888888888888889,-17.666666666666668,26,0,0.0,0.0,0.0
2018-03-05,6.111111111111111,0.5555555555555556,3.3333333333333335,-18.38888888888889,27,0,0.0,0.0,0.0
2018-03-06,8.333333333333334,0.0,4.166666666666667,-17.72222222222222,25,0,0.00025399998,0.0,0.0
2018-03-07,3.888888888888889,0.5555555555555556,2.2222222222222223,-19.77777777777778,29,0,3.5814,8.128,0.0
2018-03-08,3.888888888888889,0.5555555555555556,2.2222222222222223,-19.944444444444443,29,0,0.00025399998,0.00508,7.62
2018-03-09,5.555555555555555,-1.1111111111111112,2.2222222222222223,-20.11111111111111,29,0,0.0,0.0,5.08
2018-03-10,4.444444444444445,-0.5555555555555556,1.9444444444444444,-20.555555555555557,29,0,0.0,0.0,0.0254
2018-03-11,7.222222222222222,0.0,3.611111111111111,-19.0,26,0,0.0,0.0,0.0
2018-03-12,6.111111111111111,0.0,3.0555555555555554,-19.72222222222222,27,0,0.2032,0.00508,0.0
2018-03-13,4.444444444444445,0.5555555555555556,2.5,-20.444444444444443,28,0,0.7112,0.00508,0.0254
2018-03-14,5.0,-0.5555555555555556,2.2222222222222223,-20.88888888888889,29,0,0.0254,0.00508,0.0
2018-03-15,8.88888888888889,0.0,4.444444444444445,-18.88888888888889,25,0,0.0,0.0,0.0
2018-03-16,4.444444444444445,-1.1111111111111112,1.6666666666666667,-21.833333333333332,30,0,0.0,0.0,0.0
2018-03-17,8.88888888888889,-2.7777777777777777,3.0555555555555554,-20.61111111111111,27,0,0.0,0.0,0.0
2018-03-18,6.111111111111111,-2.2222222222222223,1.9444444444444444,-21.88888888888889,29,0,0.0,0.0,0.0
2018-03-19,8.333333333333334,0.5555555555555556,4.444444444444445,-19.555555555555557,25,0,0.0,0.0,0.0
2018-03-20,3.888888888888889,-1.1111111111111112,1.3888888888888888,-22.833333333333332,30,0,0.00025399998,0.0,0.0
2018-03-21,3.888888888888889,-0.5555555555555556,1.6666666666666667,-22.72222222222222,30,0,2.5146,20.828,0.0
2018-03-22,10.0,0.0,5.0,-19.555555555555557,24,0,0.15239999,0.508,20.32
2018-03-23,9.444444444444445,1.6666666666666667,5.555555555555555,-19.22222222222222,23,0,0.00025399998,0.0,2.54
2018-03-24,10.555555555555555,1.6666666666666667,6.111111111111111,-18.833333333333332,22,0,0.0,0.0,0.0
2018-03-25,7.222222222222222,0.5555555555555556,3.888888888888889,-21.27777777777778,26,0,0.0,0.0,0.0
2018-03-26,10.0,1.1111111111111112,5.555555555555555,-19.77777777777778,23,0,0.0,0.0,0.0
2018-03-27,8.333333333333334,1.1111111111111112,4.722222222222222,-20.833333333333332,24,0,0.0254,0.0,0.0
2018-03-28,11.11111111111111,3.3333333333333335,7.222222222222222,-18.555555555555557,20,0,0.07619999,0.0,0.0
2018-03-29,11.666666666666666,9.444444444444445,10.555555555555555,-15.38888888888889,14,0,0.07619999,0.0,0.0
2018-03-30,16.666666666666668,6.666666666666667,11.666666666666666,-14.5,12,0,0.07619999,0.0,0.0
2018-03-31,14.444444444444445,3.888888888888889,9.166666666666666,-17.22222222222222,16,0,0.0,0.0,0.0
