Date,Maximum Temperature,Minimum Temperature,Average Temperature,Departure Temperature,HDD,CDD,Precipitation,New Snow,Snow Depth
2018-03-01,60,44,52.0,13.9,13,0,0.38,0.0,0
2018-03-02,44,34,39.0,0.7,26,0,1.86,T,0
2018-03-03,49,36,42.5,3.9,22,0,0.00,0.0,0
2018-03-04,44,34,39.0,0.2,26,0,0.00,0.0,0
2018-03-05,43,33,38.0,-1.1,27,0,0.00,0.0,0
2018-03-06,47,32,39.5,0.1,25,0,T,0.0,0
2018-03-07,39,33,36.0,-3.6,29,0,1.41,3.2,0
2018-03-08,39,33,36.0,-3.9,29,0,T,T,3
2018-03-09,42,30,36.0,-4.2,29,0,0.00,0.0,2
2018-03-10,40,31,35.5,-5.0,29,0,0.00,0.0,T
2018-03-11,45,32,38.5,-2.2,26,0,0.00,0.0,0
2018-03-12,43,32,37.5,-3.5,27,0,0.08,T,0
2018-03-13,40,33,36.5,-4.8,28,0,0.28,T,T
2018-03-14,41,31,36.0,-5.6,29,0,0.01,T,0
2018-03-15,48,32,40.0,-2.0,25,0,0.00,0.0,0
2018-03-16,40,30,35.0,-7.3,30,0,0.00,0.0,0
2018-03-17,48,27,37.5,-5.1,27,0,0.00,0.0,0
2018-03-18,43,28,35.5,-7.4,29,0,0.00,0.0,0
2018-03-19,47,33,40.0,-3.2,25,0,0.00,0.0,0
2018-03-20,39,30,34.5,-9.1,30,0,T,0.0,0
2018-03-21,39,31,35.0,-8.9,30,0,0.99,8.2,0
2018-03-22,50,32,41.0,-3.2,24,0,0.06,0.2,8
2018-03-23,49,35,42.0,-2.6,23,0,T,0.0,1
2018-03-24,51,35,43.0,-1.9,22,0,0.00,0.0,0
2018-03-25,45,33,39.0,-6.3,26,0,0.00,0.0,0
2018-03-26,50,34,42.0,-3.6,23,0,0.00,0.0,0
2018-03-27,47,34,40.5,-5.5,24,0,0.01,0.0,0
2018-03-28,52,38,45.0,-1.4,20,0,0.03,0.0,0
2018-03-29,53,49,51.0,4.3,14,0,0.03,0.0,0
2018-03-30,62,44,53.0,5.9,12,0,0.03,0.0,0
2018-03-31,58,39,48.5,1.0,16,0,0.00,0.0,0

